STORE_LOCATION;PRODUCT_CATEGORY;PRODUCT_DETAIL;PRODUCT_TYPE;REVENUE;NUMBER_OF_SALES;TRANSACTION_DATE;DAY_NAME;MONTH_NAME;HOUR_OF_DAY;DAY_CLASSIFICATION;TRANSACTION_TIME;TIME_CATEGORISATIONS
Hell's Kitchen;Tea;Spicy Eye Opener Chai Rg;Brewed Chai tea;5,1;1;2023/02/08;Wed;Feb;9;Weekday;09:15:45.000;Morning
Lower Manhattan;Tea;Lemon Grass Lg;Brewed herbal tea;3;1;2023/02/08;Wed;Feb;9;Weekday;09:46:47.000;Morning
Hell's Kitchen;Flavours;Sugar Free Vanilla syrup;Sugar free syrup;0,8;1;2023/02/08;Wed;Feb;9;Weekday;09:58:58.000;Morning
Lower Manhattan;Tea;Earl Grey Rg;Brewed Black tea;5;1;2023/02/08;Wed;Feb;10;Weekday;10:04:00.000;Morning
Hell's Kitchen;Bakery;Ginger Biscotti;Biscotti;3,5;1;2023/02/08;Wed;Feb;10;Weekday;10:27:46.000;Morning
Lower Manhattan;Bakery;Oatmeal Scone;Scone;3;1;2023/02/08;Wed;Feb;10;Weekday;10:51:39.000;Morning
Hell's Kitchen;Tea;English Breakfast Lg;Brewed Black tea;3;1;2023/02/08;Wed;Feb;11;Weekday;11:15:00.000;Morning
Lower Manhattan;Coffee;Cappuccino;Barista Espresso;7,5;1;2023/02/08;Wed;Feb;12;Weekday;12:01:24.000;Afternoon
Astoria;Coffee;Ethiopia Sm;Gourmet brewed coffee;2,2;1;2023/02/08;Wed;Feb;15;Weekday;15:00:56.000;Afternoon
Astoria;Bakery;Chocolate Chip Biscotti;Biscotti;7;1;2023/02/08;Wed;Feb;18;Weekday;18:07:16.000;Evening
Astoria;Coffee;Our Old Time Diner Blend Lg;Drip coffee;6;1;2023/02/09;Thu;Feb;9;Weekday;09:32:02.000;Morning
Hell's Kitchen;Coffee;Brazilian Lg;Organic brewed coffee;3,5;1;2023/02/09;Thu;Feb;18;Weekday;18:57:02.000;Evening
Lower Manhattan;Flavours;Sugar Free Vanilla syrup;Sugar free syrup;1,6;1;2023/02/10;Fri;Feb;6;Weekday;06:31:22.000;Morning
Hell's Kitchen;Bakery;Cranberry Scone;Scone;3,25;1;2023/02/10;Fri;Feb;6;Weekday;06:56:10.000;Morning
Astoria;Tea;Peppermint Lg;Brewed herbal tea;6;1;2023/02/10;Fri;Feb;7;Weekday;07:57:07.000;Morning
Lower Manhattan;Bakery;Oatmeal Scone;Scone;3;1;2023/02/10;Fri;Feb;10;Weekday;10:45:26.000;Morning
Lower Manhattan;Tea;Traditional Blend Chai Lg;Brewed Chai tea;3;1;2023/02/10;Fri;Feb;11;Weekday;11:16:42.000;Morning
Hell's Kitchen;Tea;Earl Grey Rg;Brewed Black tea;2,5;1;2023/02/10;Fri;Feb;11;Weekday;11:17:43.000;Morning
Hell's Kitchen;Coffee;Brazilian Lg;Organic brewed coffee;7;1;2023/02/10;Fri;Feb;14;Weekday;14:08:21.000;Afternoon
Hell's Kitchen;Tea;Morning Sunrise Chai Rg;Brewed Chai tea;2,5;1;2023/02/11;Sat;Feb;8;Weekend;08:43:50.000;Morning
Astoria;Coffee;Brazilian Rg;Organic brewed coffee;6;1;2023/02/11;Sat;Feb;9;Weekend;09:47:37.000;Morning
Lower Manhattan;Tea;Earl Grey Rg;Brewed Black tea;2,5;1;2023/02/11;Sat;Feb;9;Weekend;09:49:30.000;Morning
Lower Manhattan;Drinking Chocolate;Dark chocolate Lg;Hot chocolate;4,5;1;2023/02/11;Sat;Feb;11;Weekend;11:06:09.000;Morning
Lower Manhattan;Bakery;Scottish Cream Scone ;Scone;4,5;1;2023/02/11;Sat;Feb;14;Weekend;14:18:19.000;Afternoon
Astoria;Coffee;Columbian Medium Roast Lg;Gourmet brewed coffee;6;1;2023/02/11;Sat;Feb;16;Weekend;16:21:54.000;Evening
Hell's Kitchen;Tea;Serenity Green Tea Rg;Brewed Green tea;2,5;1;2023/02/11;Sat;Feb;19;Weekend;19:10:28.000;Evening
Lower Manhattan;Coffee;Latte Rg;Barista Espresso;4,25;1;2023/02/12;Sun;Feb;6;Weekend;06:48:07.000;Morning
Astoria;Flavours;Chocolate syrup;Regular syrup;0,8;1;2023/02/12;Sun;Feb;7;Weekend;07:46:25.000;Morning
Lower Manhattan;Bakery;Chocolate Croissant;Pastry;3,75;1;2023/02/12;Sun;Feb;9;Weekend;09:37:00.000;Morning
Lower Manhattan;Coffee;Columbian Medium Roast Sm;Gourmet brewed coffee;2;1;2023/02/12;Sun;Feb;11;Weekend;11:30:34.000;Morning
Lower Manhattan;Tea;Spicy Eye Opener Chai Rg;Brewed Chai tea;5,1;1;2023/02/12;Sun;Feb;14;Weekend;14:23:13.000;Afternoon
Astoria;Flavours;Sugar Free Vanilla syrup;Sugar free syrup;1,6;1;2023/02/12;Sun;Feb;17;Weekend;17:14:53.000;Evening
Hell's Kitchen;Bakery;Chocolate Croissant;Pastry;3,75;1;2023/02/12;Sun;Feb;19;Weekend;19:52:50.000;Evening
Astoria;Tea;Traditional Blend Chai Lg;Brewed Chai tea;6;1;2023/02/13;Mon;Feb;7;Weekday;07:21:13.000;Morning
Lower Manhattan;Coffee;Brazilian Lg;Organic brewed coffee;7;1;2023/02/13;Mon;Feb;8;Weekday;08:01:35.000;Morning
Hell's Kitchen;Coffee;Columbian Medium Roast Rg;Gourmet brewed coffee;5;1;2023/02/13;Mon;Feb;8;Weekday;08:33:56.000;Morning
Hell's Kitchen;Tea;Lemon Grass Lg;Brewed herbal tea;6;1;2023/02/11;Sat;Feb;15;Weekend;15:32:00.000;Afternoon
Hell's Kitchen;Tea;Lemon Grass Rg;Brewed herbal tea;2,5;1;2023/02/12;Sun;Feb;16;Weekend;16:48:53.000;Evening
Astoria;Bakery;Hazelnut Biscotti;Biscotti;3,25;1;2023/02/13;Mon;Feb;10;Weekday;10:53:55.000;Morning
Lower Manhattan;Tea;Traditional Blend Chai Lg;Brewed Chai tea;3;1;2023/02/13;Mon;Feb;11;Weekday;11:10:42.000;Morning
Astoria;Coffee;Ethiopia Rg;Gourmet brewed coffee;3;1;2023/02/13;Mon;Feb;11;Weekday;11:28:23.000;Morning
Lower Manhattan;Tea;English Breakfast Lg;Brewed Black tea;6;1;2023/02/13;Mon;Feb;14;Weekday;14:10:51.000;Afternoon
Hell's Kitchen;Bakery;Almond Croissant;Pastry;3,75;1;2023/02/13;Mon;Feb;16;Weekday;16:40:25.000;Evening
Lower Manhattan;Tea;Serenity Green Tea Rg;Brewed Green tea;5;1;2023/02/13;Mon;Feb;18;Weekday;18:07:54.000;Evening
Astoria;Bakery;Jumbo Savory Scone;Scone;3,75;1;2023/02/13;Mon;Feb;19;Weekday;19:13:19.000;Evening
Hell's Kitchen;Flavours;Hazelnut syrup;Regular syrup;1,6;1;2023/02/13;Mon;Feb;20;Weekday;20:48:13.000;Night
Hell's Kitchen;Bakery;Almond Croissant;Pastry;3,75;1;2023/02/14;Tue;Feb;8;Weekday;08:20:22.000;Morning
Hell's Kitchen;Coffee;Our Old Time Diner Blend Rg;Drip coffee;5;1;2023/02/14;Tue;Feb;8;Weekday;08:20:38.000;Morning
Astoria;Coffee;Cappuccino Lg;Barista Espresso;8,5;1;2023/02/14;Tue;Feb;8;Weekday;08:47:24.000;Morning
Astoria;Flavours;Carmel syrup;Regular syrup;1,6;1;2023/02/14;Tue;Feb;8;Weekday;08:47:24.000;Morning
Astoria;Tea;Morning Sunrise Chai Lg;Brewed Chai tea;4;1;2023/02/14;Tue;Feb;9;Weekday;09:51:23.000;Morning
Astoria;Flavours;Hazelnut syrup;Regular syrup;0,8;1;2023/02/14;Tue;Feb;9;Weekday;09:51:57.000;Morning
Lower Manhattan;Coffee;Ethiopia Rg;Gourmet brewed coffee;3;1;2023/02/14;Tue;Feb;10;Weekday;10:07:44.000;Morning
Astoria;Branded;I Need My Bean! T-shirt;Clothing;28;1;2023/02/14;Tue;Feb;10;Weekday;10:11:42.000;Morning
Hell's Kitchen;Tea;English Breakfast Lg;Brewed Black tea;6;1;2023/02/14;Tue;Feb;13;Weekday;13:21:48.000;Afternoon
Astoria;Coffee;Cappuccino;Barista Espresso;7,5;1;2023/02/14;Tue;Feb;17;Weekday;17:09:09.000;Evening
Hell's Kitchen;Tea;English Breakfast Rg;Brewed Black tea;2,5;1;2023/02/15;Wed;Feb;8;Weekday;08:45:11.000;Morning
Astoria;Coffee;Our Old Time Diner Blend Sm;Drip coffee;4;1;2023/02/15;Wed;Feb;8;Weekday;08:48:53.000;Morning
Lower Manhattan;Coffee;Ethiopia Rg;Gourmet brewed coffee;6;1;2023/02/15;Wed;Feb;8;Weekday;08:51:04.000;Morning
Astoria;Coffee;Jamaican Coffee River Lg;Premium brewed coffee;3,75;1;2023/02/15;Wed;Feb;9;Weekday;09:10:00.000;Morning
Astoria;Packaged Chocolate;Sustainably Grown Organic;Organic Chocolate;7,6;1;2023/02/15;Wed;Feb;10;Weekday;10:34:04.000;Morning
Hell's Kitchen;Coffee;Brazilian Sm;Organic brewed coffee;2,2;1;2023/02/15;Wed;Feb;11;Weekday;11:49:48.000;Morning
Astoria;Coffee;Ethiopia Lg;Gourmet brewed coffee;7;1;2023/02/15;Wed;Feb;14;Weekday;14:38:47.000;Afternoon
Hell's Kitchen;Tea;Serenity Green Tea Lg;Brewed Green tea;6;1;2023/02/16;Thu;Feb;6;Weekday;06:45:51.000;Morning
Astoria;Tea;Morning Sunrise Chai Lg;Brewed Chai tea;8;1;2023/02/16;Thu;Feb;7;Weekday;07:34:19.000;Morning
Lower Manhattan;Coffee;Jamaican Coffee River Sm;Premium brewed coffee;2,45;1;2023/02/16;Thu;Feb;8;Weekday;08:51:53.000;Morning
Hell's Kitchen;Coffee;Espresso shot;Barista Espresso;6;1;2023/02/16;Thu;Feb;8;Weekday;08:53:05.000;Morning
Lower Manhattan;Tea;Spicy Eye Opener Chai Lg;Brewed Chai tea;3,1;1;2023/02/16;Thu;Feb;9;Weekday;09:12:43.000;Morning
Hell's Kitchen;Drinking Chocolate;Sustainably Grown Organic Lg;Hot chocolate;4,75;1;2023/02/16;Thu;Feb;9;Weekday;09:29:29.000;Morning
Astoria;Coffee;Brazilian Lg;Organic brewed coffee;3,5;1;2023/02/16;Thu;Feb;9;Weekday;09:35:48.000;Morning
Astoria;Drinking Chocolate;Sustainably Grown Organic Lg;Hot chocolate;4,75;1;2023/02/16;Thu;Feb;10;Weekday;10:58:01.000;Morning
Astoria;Tea;Traditional Blend Chai Rg;Brewed Chai tea;5;1;2023/02/16;Thu;Feb;13;Weekday;13:33:47.000;Afternoon
Astoria;Tea;Peppermint Rg;Brewed herbal tea;5;1;2023/02/16;Thu;Feb;14;Weekday;14:48:06.000;Afternoon
Astoria;Tea;Lemon Grass Rg;Brewed herbal tea;5;1;2023/02/16;Thu;Feb;16;Weekday;16:11:35.000;Evening
Lower Manhattan;Coffee;Brazilian Sm;Organic brewed coffee;4,4;1;2023/02/17;Fri;Feb;7;Weekday;07:00:08.000;Morning
Hell's Kitchen;Packaged Chocolate;Sustainably Grown Organic;Organic Chocolate;7,6;1;2023/02/17;Fri;Feb;7;Weekday;07:05:39.000;Morning
Astoria;Tea;Spicy Eye Opener Chai Lg;Brewed Chai tea;3,1;1;2023/02/17;Fri;Feb;7;Weekday;07:17:53.000;Morning
Lower Manhattan;Tea;Peppermint Rg;Brewed herbal tea;2,5;1;2023/02/17;Fri;Feb;7;Weekday;07:18:58.000;Morning
Astoria;Bakery;Ginger Biscotti;Biscotti;3,5;1;2023/02/17;Fri;Feb;7;Weekday;07:34:04.000;Morning
Astoria;Coffee;Brazilian Rg;Organic brewed coffee;6;1;2023/02/17;Fri;Feb;8;Weekday;08:36:26.000;Morning
Astoria;Flavours;Chocolate syrup;Regular syrup;0,8;1;2023/02/17;Fri;Feb;9;Weekday;09:44:32.000;Morning
Astoria;Coffee;Columbian Medium Roast Rg;Gourmet brewed coffee;2,5;1;2023/02/17;Fri;Feb;10;Weekday;10:19:39.000;Morning
Lower Manhattan;Bakery;Chocolate Croissant;Pastry;3,75;1;2023/02/17;Fri;Feb;10;Weekday;10:48:35.000;Morning
Lower Manhattan;Tea;English Breakfast Lg;Brewed Black tea;3;1;2023/02/17;Fri;Feb;12;Weekday;12:38:47.000;Afternoon
Hell's Kitchen;Tea;Traditional Blend Chai Lg;Brewed Chai tea;3;1;2023/02/17;Fri;Feb;17;Weekday;17:54:58.000;Evening
Lower Manhattan;Coffee;Our Old Time Diner Blend Lg;Drip coffee;3;1;2023/02/18;Sat;Feb;7;Weekend;07:12:38.000;Morning
Lower Manhattan;Tea;Serenity Green Tea Rg;Brewed Green tea;5;1;2023/02/18;Sat;Feb;7;Weekend;07:22:30.000;Morning
Astoria;Drinking Chocolate;Dark chocolate Lg;Hot chocolate;9;1;2023/02/18;Sat;Feb;8;Weekend;08:32:09.000;Morning
Hell's Kitchen;Coffee beans;Espresso Roast;Espresso Beans;14,75;1;2023/02/18;Sat;Feb;9;Weekend;09:01:49.000;Morning
Astoria;Flavours;Hazelnut syrup;Regular syrup;1,6;1;2023/02/18;Sat;Feb;9;Weekend;09:33:27.000;Morning
Hell's Kitchen;Tea;Peppermint Rg;Brewed herbal tea;5;1;2023/02/18;Sat;Feb;15;Weekend;15:12:29.000;Afternoon
Lower Manhattan;Coffee;Jamaican Coffee River Lg;Premium brewed coffee;3,75;1;2023/02/18;Sat;Feb;16;Weekend;16:37:55.000;Evening
Lower Manhattan;Coffee;Espresso shot;Barista Espresso;6;1;2023/02/19;Sun;Feb;7;Weekend;07:23:35.000;Morning
Astoria;Coffee;Jamaican Coffee River Rg;Premium brewed coffee;6,2;1;2023/02/19;Sun;Feb;8;Weekend;08:30:49.000;Morning
Astoria;Coffee;Jamaican Coffee River Sm;Premium brewed coffee;4,9;1;2023/02/19;Sun;Feb;8;Weekend;08:42:39.000;Morning
Hell's Kitchen;Tea;Serenity Green Tea Lg;Brewed Green tea;3;1;2023/02/19;Sun;Feb;9;Weekend;09:04:17.000;Morning
Hell's Kitchen;Bakery;Hazelnut Biscotti;Biscotti;3,25;1;2023/02/19;Sun;Feb;9;Weekend;09:22:36.000;Morning
Lower Manhattan;Coffee;Jamaican Coffee River Rg;Premium brewed coffee;3,1;1;2023/02/19;Sun;Feb;9;Weekend;09:29:53.000;Morning
Astoria;Branded;I Need My Bean! Latte cup;Housewares;14;1;2023/02/19;Sun;Feb;9;Weekend;09:52:03.000;Morning
Astoria;Tea;Spicy Eye Opener Chai Lg;Brewed Chai tea;6,2;1;2023/02/19;Sun;Feb;10;Weekend;10:14:20.000;Morning
Lower Manhattan;Tea;Peppermint Rg;Brewed herbal tea;2,5;1;2023/02/19;Sun;Feb;10;Weekend;10:27:12.000;Morning
Astoria;Coffee;Our Old Time Diner Blend Sm;Drip coffee;4;1;2023/02/19;Sun;Feb;18;Weekend;18:36:18.000;Evening
Lower Manhattan;Coffee;Jamaican Coffee River Rg;Premium brewed coffee;9,3;1;2023/02/20;Mon;Feb;7;Weekday;07:05:26.000;Morning
Lower Manhattan;Tea;Lemon Grass Lg;Brewed herbal tea;3;1;2023/02/20;Mon;Feb;10;Weekday;10:32:45.000;Morning
Astoria;Bakery;Chocolate Chip Biscotti;Biscotti;3,5;1;2023/02/20;Mon;Feb;13;Weekday;13:48:24.000;Afternoon
Astoria;Bakery;Ginger Biscotti;Biscotti;3,5;1;2023/02/20;Mon;Feb;17;Weekday;17:25:06.000;Evening
Hell's Kitchen;Drinking Chocolate;Dark chocolate Lg;Hot chocolate;4,5;1;2023/02/21;Tue;Feb;8;Weekday;08:50:02.000;Morning
Astoria;Tea;Traditional Blend Chai Lg;Brewed Chai tea;6;1;2023/02/21;Tue;Feb;8;Weekday;08:53:55.000;Morning
Hell's Kitchen;Coffee;Cappuccino;Barista Espresso;3,75;1;2023/02/21;Tue;Feb;8;Weekday;08:56:49.000;Morning
Lower Manhattan;Bakery;Ginger Biscotti;Biscotti;3,5;1;2023/02/21;Tue;Feb;9;Weekday;09:46:06.000;Morning
Hell's Kitchen;Bakery;Chocolate Croissant;Pastry;3,75;1;2023/02/21;Tue;Feb;13;Weekday;13:22:36.000;Afternoon
Hell's Kitchen;Coffee beans;Organic Decaf Blend;Organic Beans;22,5;1;2023/02/21;Tue;Feb;13;Weekday;13:41:02.000;Afternoon
Hell's Kitchen;Coffee;Columbian Medium Roast Sm;Gourmet brewed coffee;4;1;2023/02/21;Tue;Feb;17;Weekday;17:16:01.000;Evening
Lower Manhattan;Flavours;Sugar Free Vanilla syrup;Sugar free syrup;1,6;1;2023/02/21;Tue;Feb;18;Weekday;18:20:09.000;Evening
Hell's Kitchen;Coffee;Our Old Time Diner Blend Sm;Drip coffee;4;1;2023/02/21;Tue;Feb;20;Weekday;20:44:43.000;Night
Lower Manhattan;Bakery;Chocolate Chip Biscotti;Biscotti;3,5;1;2023/02/22;Wed;Feb;6;Weekday;06:20:17.000;Morning
Astoria;Coffee;Ethiopia Sm;Gourmet brewed coffee;4,4;1;2023/02/22;Wed;Feb;8;Weekday;08:18:21.000;Morning
Lower Manhattan;Tea;Lemon Grass Rg;Brewed herbal tea;7,5;1;2023/02/22;Wed;Feb;8;Weekday;08:20:52.000;Morning
Hell's Kitchen;Loose Tea;Morning Sunrise Chai;Chai tea;9,5;1;2023/02/22;Wed;Feb;9;Weekday;09:09:02.000;Morning
Astoria;Coffee;Our Old Time Diner Blend Lg;Drip coffee;6;1;2023/02/22;Wed;Feb;11;Weekday;11:54:08.000;Morning
Lower Manhattan;Coffee;Jamaican Coffee River Rg;Premium brewed coffee;3,1;1;2023/02/22;Wed;Feb;13;Weekday;13:16:45.000;Afternoon
Astoria;Tea;Earl Grey Rg;Brewed Black tea;2,5;1;2023/02/22;Wed;Feb;18;Weekday;18:31:55.000;Evening
Astoria;Tea;Serenity Green Tea Lg;Brewed Green tea;6;1;2023/02/22;Wed;Feb;18;Weekday;18:48:33.000;Evening
Lower Manhattan;Bakery;Oatmeal Scone;Scone;3;1;2023/02/23;Thu;Feb;6;Weekday;06:17:19.000;Morning
Lower Manhattan;Tea;Peppermint Lg;Brewed herbal tea;6;1;2023/02/23;Thu;Feb;6;Weekday;06:41:03.000;Morning
Astoria;Coffee;Cappuccino;Barista Espresso;7,5;1;2023/02/23;Thu;Feb;7;Weekday;07:08:40.000;Morning
Astoria;Bakery;Chocolate Chip Biscotti;Biscotti;3,5;1;2023/02/23;Thu;Feb;7;Weekday;07:11:32.000;Morning
Astoria;Coffee;Brazilian Lg;Organic brewed coffee;7;1;2023/02/23;Thu;Feb;7;Weekday;07:37:26.000;Morning
Hell's Kitchen;Coffee;Our Old Time Diner Blend Rg;Drip coffee;5;1;2023/02/23;Thu;Feb;8;Weekday;08:57:52.000;Morning
Lower Manhattan;Coffee;Our Old Time Diner Blend Rg;Drip coffee;5;1;2023/02/23;Thu;Feb;9;Weekday;09:06:09.000;Morning
Lower Manhattan;Tea;Serenity Green Tea Rg;Brewed Green tea;2,5;1;2023/02/23;Thu;Feb;10;Weekday;10:20:39.000;Morning
Lower Manhattan;Tea;Spicy Eye Opener Chai Lg;Brewed Chai tea;9,3;1;2023/02/23;Thu;Feb;10;Weekday;10:45:13.000;Morning
Astoria;Bakery;Cranberry Scone;Scone;3,25;1;2023/02/23;Thu;Feb;16;Weekday;16:40:06.000;Evening
Lower Manhattan;Coffee;Espresso shot;Barista Espresso;3;1;2023/02/23;Thu;Feb;17;Weekday;17:53:52.000;Evening
Hell's Kitchen;Tea;Serenity Green Tea Rg;Brewed Green tea;5;1;2023/02/24;Fri;Feb;6;Weekday;06:48:10.000;Morning
Astoria;Coffee;Latte;Barista Espresso;7,5;1;2023/02/24;Fri;Feb;7;Weekday;07:10:23.000;Morning
Hell's Kitchen;Coffee;Columbian Medium Roast Sm;Gourmet brewed coffee;2;1;2023/02/24;Fri;Feb;8;Weekday;08:24:44.000;Morning
Hell's Kitchen;Tea;Spicy Eye Opener Chai Rg;Brewed Chai tea;5,1;1;2023/02/24;Fri;Feb;10;Weekday;10:24:24.000;Morning
Lower Manhattan;Bakery;Ginger Scone;Scone;7,95;1;2023/02/24;Fri;Feb;13;Weekday;13:09:16.000;Afternoon
Astoria;Drinking Chocolate;Sustainably Grown Organic Lg;Hot chocolate;9,5;1;2023/02/24;Fri;Feb;15;Weekday;15:00:02.000;Afternoon
Lower Manhattan;Tea;Lemon Grass Lg;Brewed herbal tea;9;1;2023/02/24;Fri;Feb;16;Weekday;16:15:21.000;Evening
Hell's Kitchen;Tea;Lemon Grass Rg;Brewed herbal tea;2,5;1;2023/02/24;Fri;Feb;17;Weekday;17:37:04.000;Evening
Hell's Kitchen;Tea;Spicy Eye Opener Chai Rg;Brewed Chai tea;2,55;1;2023/02/25;Sat;Feb;7;Weekend;07:26:57.000;Morning
Lower Manhattan;Bakery;Chocolate Croissant;Pastry;3,75;1;2023/02/25;Sat;Feb;8;Weekend;08:32:28.000;Morning
Astoria;Tea;Traditional Blend Chai Rg;Brewed Chai tea;2,5;1;2023/02/25;Sat;Feb;9;Weekend;09:38:20.000;Morning
Lower Manhattan;Coffee;Columbian Medium Roast Sm;Gourmet brewed coffee;4;1;2023/02/25;Sat;Feb;9;Weekend;09:39:01.000;Morning
Hell's Kitchen;Tea;Serenity Green Tea Lg;Brewed Green tea;6;1;2023/02/25;Sat;Feb;10;Weekend;10:01:10.000;Morning
Astoria;Coffee;Espresso shot;Barista Espresso;6;1;2023/02/25;Sat;Feb;10;Weekend;10:31:51.000;Morning
Hell's Kitchen;Bakery;Cranberry Scone;Scone;3,25;1;2023/02/25;Sat;Feb;10;Weekend;10:39:38.000;Morning
Astoria;Tea;English Breakfast Rg;Brewed Black tea;2,5;1;2023/02/25;Sat;Feb;15;Weekend;15:58:33.000;Afternoon
Astoria;Coffee;Columbian Medium Roast Rg;Gourmet brewed coffee;2,5;1;2023/02/25;Sat;Feb;19;Weekend;19:02:39.000;Evening
Hell's Kitchen;Loose Tea;Spicy Eye Opener Chai;Chai tea;10,95;1;2023/02/26;Sun;Feb;7;Weekend;07:36:16.000;Morning
Hell's Kitchen;Tea;Morning Sunrise Chai Rg;Brewed Chai tea;2,5;1;2023/02/26;Sun;Feb;8;Weekend;08:12:05.000;Morning
Astoria;Tea;Serenity Green Tea Rg;Brewed Green tea;2,5;1;2023/02/26;Sun;Feb;8;Weekend;08:30:25.000;Morning
Astoria;Tea;Serenity Green Tea Lg;Brewed Green tea;6;1;2023/02/26;Sun;Feb;8;Weekend;08:52:48.000;Morning
Hell's Kitchen;Bakery;Chocolate Croissant;Pastry;3,75;1;2023/02/26;Sun;Feb;10;Weekend;10:53:51.000;Morning
Astoria;Drinking Chocolate;Sustainably Grown Organic Rg;Hot chocolate;3,75;1;2023/02/26;Sun;Feb;14;Weekend;14:30:57.000;Afternoon
Astoria;Coffee;Jamaican Coffee River Rg;Premium brewed coffee;3,1;1;2023/02/26;Sun;Feb;15;Weekend;15:12:37.000;Afternoon
Astoria;Tea;Peppermint Rg;Brewed herbal tea;2,5;1;2023/02/26;Sun;Feb;15;Weekend;15:24:00.000;Afternoon
Astoria;Tea;Traditional Blend Chai Rg;Brewed Chai tea;5;1;2023/02/26;Sun;Feb;15;Weekend;15:59:38.000;Afternoon
Hell's Kitchen;Tea;English Breakfast Rg;Brewed Black tea;5;1;2023/02/26;Sun;Feb;16;Weekend;16:04:52.000;Evening
Astoria;Drinking Chocolate;Sustainably Grown Organic Rg;Hot chocolate;3,75;1;2023/02/26;Sun;Feb;16;Weekend;16:25:06.000;Evening
Astoria;Coffee;Brazilian Rg;Organic brewed coffee;3;1;2023/02/26;Sun;Feb;17;Weekend;17:41:11.000;Evening
Astoria;Tea;English Breakfast Rg;Brewed Black tea;5;1;2023/02/22;Wed;Feb;7;Weekday;07:44:04.000;Morning
Hell's Kitchen;Coffee;Ethiopia Lg;Gourmet brewed coffee;3,5;1;2023/02/22;Wed;Feb;14;Weekday;14:09:54.000;Afternoon
Hell's Kitchen;Tea;Lemon Grass Lg;Brewed herbal tea;6;1;2023/02/25;Sat;Feb;10;Weekend;10:40:37.000;Morning
Astoria;Tea;Spicy Eye Opener Chai Lg;Brewed Chai tea;6,2;1;2023/02/26;Sun;Feb;7;Weekend;07:11:04.000;Morning
Astoria;Bakery;Hazelnut Biscotti;Biscotti;3,25;1;2023/02/27;Mon;Feb;8;Weekday;08:46:42.000;Morning
Lower Manhattan;Tea;Serenity Green Tea Lg;Brewed Green tea;3;1;2023/02/27;Mon;Feb;9;Weekday;09:10:48.000;Morning
Lower Manhattan;Tea;Traditional Blend Chai Lg;Brewed Chai tea;6;1;2023/02/27;Mon;Feb;9;Weekday;09:36:50.000;Morning
Lower Manhattan;Bakery;Chocolate Croissant;Pastry;3,75;1;2023/02/27;Mon;Feb;10;Weekday;10:09:48.000;Morning
Astoria;Tea;Earl Grey Lg;Brewed Black tea;6;1;2023/02/27;Mon;Feb;10;Weekday;10:13:35.000;Morning
Lower Manhattan;Flavours;Chocolate syrup;Regular syrup;0,8;1;2023/02/27;Mon;Feb;10;Weekday;10:38:54.000;Morning
Hell's Kitchen;Coffee;Ethiopia Rg;Gourmet brewed coffee;3;1;2023/02/27;Mon;Feb;10;Weekday;10:46:04.000;Morning
Astoria;Tea;English Breakfast Lg;Brewed Black tea;6;1;2023/02/27;Mon;Feb;12;Weekday;12:25:37.000;Afternoon
Hell's Kitchen;Coffee;Jamaican Coffee River Sm;Premium brewed coffee;2,45;1;2023/02/27;Mon;Feb;13;Weekday;13:00:03.000;Afternoon
Lower Manhattan;Bakery;Ginger Scone;Scone;3,25;1;2023/02/27;Mon;Feb;16;Weekday;16:14:18.000;Evening
Lower Manhattan;Coffee;Latte;Barista Espresso;3,75;1;2023/02/27;Mon;Feb;17;Weekday;17:04:13.000;Evening
Hell's Kitchen;Coffee;Brazilian Sm;Organic brewed coffee;4,4;1;2023/02/27;Mon;Feb;18;Weekday;18:56:07.000;Evening
Lower Manhattan;Coffee;Columbian Medium Roast Lg;Gourmet brewed coffee;3;1;2023/02/28;Tue;Feb;7;Weekday;07:52:15.000;Morning
Hell's Kitchen;Coffee;Cappuccino Lg;Barista Espresso;4,25;1;2023/02/28;Tue;Feb;8;Weekday;08:48:15.000;Morning
Lower Manhattan;Bakery;Ginger Scone;Scone;5,3;1;2023/02/28;Tue;Feb;8;Weekday;08:56:33.000;Morning
Lower Manhattan;Tea;Spicy Eye Opener Chai Rg;Brewed Chai tea;2,55;1;2023/02/28;Tue;Feb;10;Weekday;10:46:48.000;Morning
Astoria;Coffee;Columbian Medium Roast Rg;Gourmet brewed coffee;5;1;2023/02/28;Tue;Feb;11;Weekday;11:06:25.000;Morning
Lower Manhattan;Coffee;Our Old Time Diner Blend Sm;Drip coffee;2;1;2023/02/28;Tue;Feb;11;Weekday;11:26:07.000;Morning
Astoria;Coffee;Brazilian Rg;Organic brewed coffee;3;1;2023/02/28;Tue;Feb;13;Weekday;13:23:11.000;Afternoon
Astoria;Coffee;Cappuccino;Barista Espresso;7,5;1;2023/02/28;Tue;Feb;14;Weekday;14:04:00.000;Afternoon
Hell's Kitchen;Bakery;Scottish Cream Scone ;Scone;4,5;1;2023/02/28;Tue;Feb;14;Weekday;14:40:24.000;Afternoon
Lower Manhattan;Coffee;Ouro Brasileiro shot;Barista Espresso;3;1;2023/01/16;Mon;Jan;8;Weekday;08:18:22.000;Morning
Hell's Kitchen;Tea;Lemon Grass Rg;Brewed herbal tea;2,5;1;2023/01/20;Fri;Jan;13;Weekday;13:33:36.000;Afternoon
Hell's Kitchen;Coffee;Latte;Barista Espresso;3,75;1;2023/02/22;Wed;Feb;7;Weekday;07:08:41.000;Morning
